Day,googleTrend_PresElection
9/1/2019,2
9/2/2019,3
9/3/2019,2
9/4/2019,3
9/5/2019,2
9/6/2019,3
9/7/2019,2
9/8/2019,3
9/9/2019,4
9/10/2019,6
9/11/2019,4
9/12/2019,3
9/13/2019,7
9/14/2019,4
9/15/2019,2
9/16/2019,3
9/17/2019,3
9/18/2019,3
9/19/2019,4
9/20/2019,4
9/21/2019,4
9/22/2019,4
9/23/2019,3
9/24/2019,7
9/25/2019,3
9/26/2019,3
9/27/2019,4
9/28/2019,3
9/29/2019,2
9/30/2019,3
10/1/2019,3
10/2/2019,4
10/3/2019,2
10/4/2019,4
10/5/2019,4
10/6/2019,3
10/7/2019,3
10/8/2019,3
10/9/2019,4
10/10/2019,3
10/11/2019,4
10/12/2019,3
10/13/2019,2
10/14/2019,4
10/15/2019,4
10/16/2019,6
10/17/2019,5
10/18/2019,3
10/19/2019,4
10/20/2019,4
10/21/2019,5
10/22/2019,4
10/23/2019,4
10/24/2019,3
10/25/2019,3
10/26/2019,2
10/27/2019,5
10/28/2019,4
10/29/2019,4
10/30/2019,3
10/31/2019,4
11/1/2019,5
11/2/2019,7
11/3/2019,8
11/4/2019,8
11/5/2019,17
11/6/2019,13
11/7/2019,7
11/8/2019,6
11/9/2019,5
11/10/2019,3
11/11/2019,2
11/12/2019,3
11/13/2019,4
11/14/2019,4
11/15/2019,4
11/16/2019,2
11/17/2019,4
11/18/2019,3
11/19/2019,4
11/20/2019,5
11/21/2019,5
11/22/2019,4
11/23/2019,3
11/24/2019,4
11/25/2019,4
11/26/2019,3
11/27/2019,2
11/28/2019,2
11/29/2019,2
11/30/2019,1
12/1/2019,4
12/2/2019,3
12/3/2019,6
12/4/2019,5
12/5/2019,4
12/6/2019,3
12/7/2019,4
12/8/2019,2
12/9/2019,4
12/10/2019,5
12/11/2019,5
12/12/2019,4
12/13/2019,5
12/14/2019,3
12/15/2019,3
12/16/2019,3
12/17/2019,3
12/18/2019,4
12/19/2019,12
12/20/2019,7
12/21/2019,4
12/22/2019,3
12/23/2019,3
12/24/2019,2
12/25/2019,1
12/26/2019,3
12/27/2019,4
12/28/2019,3
12/29/2019,3
12/30/2019,2
12/31/2019,3
1/1/2020,4
1/2/2020,7
1/3/2020,5
1/4/2020,3
1/5/2020,5
1/6/2020,4
1/7/2020,5
1/8/2020,4
1/9/2020,4
1/10/2020,6
1/11/2020,8
1/12/2020,5
1/13/2020,5
1/14/2020,4
1/15/2020,9
1/16/2020,7
1/17/2020,6
1/18/2020,4
1/19/2020,3
1/20/2020,4
1/21/2020,4
1/22/2020,5
1/23/2020,5
1/24/2020,5
1/25/2020,3
1/26/2020,5
1/27/2020,6
1/28/2020,6
1/29/2020,5
1/30/2020,5
1/31/2020,6
2/1/2020,5
2/2/2020,5
2/3/2020,10
2/4/2020,15
2/5/2020,19
2/6/2020,13
2/7/2020,12
2/8/2020,9
2/9/2020,8
2/10/2020,10
2/11/2020,11
2/12/2020,22
2/13/2020,11
2/14/2020,10
2/15/2020,6
2/16/2020,7
2/17/2020,7
2/18/2020,10
2/19/2020,6
2/20/2020,12
2/21/2020,11
2/22/2020,10
2/23/2020,18
2/24/2020,11
2/25/2020,13
2/26/2020,13
2/27/2020,10
2/28/2020,8
2/29/2020,11
3/1/2020,16
3/2/2020,19
3/3/2020,43
3/4/2020,100
3/5/2020,29
3/6/2020,22
3/7/2020,17
3/8/2020,11
3/9/2020,11
3/10/2020,25
3/11/2020,84
3/12/2020,12
3/13/2020,10
3/14/2020,8
3/15/2020,5
3/16/2020,8
3/17/2020,12
3/18/2020,28
3/19/2020,7
3/20/2020,5
3/21/2020,6
3/22/2020,3
3/23/2020,4
3/24/2020,4
3/25/2020,4
3/26/2020,4
3/27/2020,4
3/28/2020,4
3/29/2020,3
3/30/2020,2
3/31/2020,4
4/1/2020,3
4/2/2020,3
4/3/2020,4
4/4/2020,5
4/5/2020,4
4/6/2020,3
4/7/2020,5
4/8/2020,14
4/9/2020,9
4/10/2020,5
4/11/2020,2
4/12/2020,5
4/13/2020,6
4/14/2020,6
4/15/2020,7
4/16/2020,6
4/17/2020,4
4/18/2020,4
4/19/2020,6
4/20/2020,2
4/21/2020,5
4/22/2020,4
4/23/2020,4
4/24/2020,3
4/25/2020,4
4/26/2020,5
4/27/2020,4
4/28/2020,4
4/29/2020,5
4/30/2020,5
5/1/2020,3
5/2/2020,2
5/3/2020,3
5/4/2020,4
